suburb_id,2023,2024,2025,Growth
801101146,25 ,62 ,118 ,3.7200000
315011395,4 ,9 ,12 ,2.0000000
801051126,9 ,22 ,25 ,1.7777778
801041121,262 ,421 ,564 ,1.1526718
701011001,7 ,10 ,14 ,1.0000000
801011144,3 ,0 ,6 ,1.0000000
213041574,"1,012 ","1,456 ","1,950 ",0.9268775
213051584,"1,372 ","1,920 ","2,627 ",0.9147230
115041623,"1,054 ","1,392 ","1,778 ",0.6869070
901021002,9 ,9 ,15 ,0.6666667
212031556,"2,069 ","2,667 ","3,383 ",0.6350894
213051582,"1,532 ","2,014 ","2,487 ",0.6233681
801011143,72 ,81 ,115 ,0.5972222
116021629,"1,439 ","1,867 ","2,277 ",0.5823489
311031313,684 ,843 ,"1,055 ",0.5423977
310031294,601 ,705 ,921 ,0.5324459
213041359,"3,009 ","3,890 ","4,531 ",0.5058159
311041571,417 ,506 ,626 ,0.5011990
801111141,6 ,0 ,9 ,0.5000000
801101136,274 ,337 ,403 ,0.4708029
213041572,963 ,"1,154 ","1,400 ",0.4537902
209041225,"1,223 ","1,435 ","1,754 ",0.4341783
213051586,"1,956 ","2,346 ","2,740 ",0.4008180
303051074,"1,132 ","1,384 ","1,571 ",0.3878092
203021485,578 ,690 ,802 ,0.3875433
210051445,"2,956 ","3,595 ","4,095 ",0.3853180
311031311,"1,390 ","1,633 ","1,909 ",0.3733813
213051589,702 ,856 ,963 ,0.3717949
316021580,"1,135 ","1,325 ","1,547 ",0.3629956
212011550,674 ,798 ,907 ,0.3456973
209041437,"2,700 ","3,216 ","3,624 ",0.3422222
123021703,"1,188 ","1,394 ","1,592 ",0.3400673
801101135,280 ,321 ,374 ,0.3357143
504031299,851 ,982 ,"1,136 ",0.3349001
116021631,770 ,861 ,"1,027 ",0.3337662
702031060,9 ,9 ,12 ,0.3333333
702031061,9 ,6 ,12 ,0.3333333
801071132,3 ,4 ,4 ,0.3333333
507051312,480 ,563 ,639 ,0.3312500
801051054,442 ,506 ,588 ,0.3303167
116021632,"2,115 ","2,466 ","2,792 ",0.3200946
506011308,"1,477 ","1,694 ","1,947 ",0.3182126
701021011,89 ,106 ,117 ,0.3146067
701041042,245 ,280 ,322 ,0.3142857
212031303,"1,877 ","2,141 ","2,461 ",0.3111348
801101139,251 ,288 ,329 ,0.3107570
213041578,"1,115 ","1,266 ","1,459 ",0.3085202
402021032,758 ,867 ,991 ,0.3073879
505031255,661 ,760 ,864 ,0.3071104
311041569,684 ,756 ,892 ,0.3040936
402041040,806 ,943 ,"1,051 ",0.3039702
213051468,"1,581 ","1,822 ","2,050 ",0.2966477
212031555,982 ,"1,173 ","1,267 ",0.2902240
127011728,"1,370 ","1,611 ","1,761 ",0.2854015
309071554,804 ,940 ,"1,032 ",0.2835821
506031124,"1,828 ","2,044 ","2,342 ",0.2811816
209041224,"1,958 ","2,188 ","2,507 ",0.2803882
314021578,867 ,"1,009 ","1,109 ",0.2791234
309071555,563 ,661 ,720 ,0.2788632
127011729,"1,312 ","1,514 ","1,676 ",0.2774390
319041519,202 ,225 ,258 ,0.2772277
127031730,934 ,"1,068 ","1,191 ",0.2751606
801071080,273 ,298 ,347 ,0.2710623
507031169,900 ,"1,011 ","1,143 ",0.2700000
506041135,"1,372 ","1,534 ","1,736 ",0.2653061
101021610,317 ,366 ,401 ,0.2649842
506011112,227 ,247 ,287 ,0.2643172
602011045,53 ,57 ,67 ,0.2641509
212031558,"1,010 ","1,159 ","1,273 ",0.2603960
601021010,81 ,98 ,102 ,0.2592593
505021085,"1,408 ","1,613 ","1,772 ",0.2585227
310041303,356 ,407 ,448 ,0.2584270
506031128,790 ,875 ,993 ,0.2569620
506061142,"1,125 ","1,268 ","1,413 ",0.2560000
507031261,537 ,624 ,674 ,0.2551210
310011563,549 ,618 ,689 ,0.2550091
127011505,"1,868 ","2,078 ","2,342 ",0.2537473
115041624,"1,435 ","1,663 ","1,797 ",0.2522648
318011466,12 ,6 ,15 ,0.2500000
402041043,"1,102 ","1,250 ","1,377 ",0.2495463
